iter	Passed	Remaining
0	1	1394
1	4	2213
2	6	2071
3	7	1929
4	9	1850
5	11	1905
6	13	1857
7	14	1832
8	16	1803
9	18	1799
10	19	1790
11	21	1790
12	23	1766
13	25	1799
14	27	1785
15	28	1774
16	30	1769
17	32	1762
18	34	1756
19	35	1741
20	37	1734
21	39	1742
22	41	1751
23	42	1744
24	44	1740
25	46	1734
26	48	1736
27	49	1731
28	51	1729
29	54	1746
30	55	1747
31	57	1745
32	59	1738
33	61	1745
34	63	1738
35	64	1731
36	67	1747
37	68	1736
38	69	1720
39	70	1699
40	72	1685
41	73	1678
42	74	1665
43	75	1644
44	76	1624
45	77	1605
46	78	1596
47	79	1581
48	80	1565
49	81	1553
50	82	1541
51	83	1526
52	84	1509
53	85	1495
54	86	1482
55	87	1472
56	88	1461
57	89	1454
58	90	1449
59	92	1443
60	93	1434
61	94	1423
62	95	1413
63	96	1404
64	97	1403
65	98	1395
66	99	1385
67	100	1374
68	101	1366
69	103	1371
70	105	1375
71	105	1366
72	107	1359
73	108	1353
74	109	1346
75	110	1339
76	111	1334
77	112	1332
78	113	1328
79	114	1321
80	116	1320
81	118	1321
82	119	1318
83	120	1313
84	121	1307
85	122	1300
86	123	1295
87	124	1288
88	125	1283
89	126	1279
90	127	1276
91	128	1271
92	130	1268
93	131	1265
94	132	1261
95	133	1258
96	134	1255
97	136	1252
98	137	1250
99	138	1247
100	141	1258
101	142	1255
102	143	1251
103	145	1251
104	147	1256
105	148	1252
106	151	1265
107	153	1268
108	155	1268
109	156	1269
110	159	1275
111	161	1280
112	163	1281
113	165	1283
114	166	1284
115	168	1285
116	170	1284
117	171	1284
118	173	1287
119	175	1288
120	177	1288
121	179	1289
122	180	1290
123	182	1290
124	184	1289
125	185	1288
126	187	1291
127	189	1291
128	191	1291
129	192	1289
130	194	1290
131	196	1291
132	197	1289
133	199	1288
134	201	1288
135	203	1291
136	205	1291
137	206	1290
138	208	1291
139	210	1291
140	211	1288
141	213	1288
142	214	1287
143	216	1288
144	218	1288
145	220	1288
146	222	1291
147	224	1290
148	225	1290
149	227	1289
150	229	1287
151	230	1287
152	232	1287
153	234	1286
154	235	1286
155	237	1285
156	239	1285
157	241	1284
158	242	1283
159	243	1280
160	245	1281
161	247	1282
162	249	1282
163	251	1283
164	253	1283
165	255	1281
166	256	1278
167	257	1276
168	259	1275
169	260	1273
170	262	1272
171	264	1271
172	265	1270
173	267	1270
174	268	1267
175	270	1265
176	271	1264
177	273	1262
178	274	1258
179	275	1253
180	275	1248
181	276	1242
182	277	1238
183	277	1232
184	278	1227
185	279	1222
186	280	1217
187	281	1215
188	282	1210
189	282	1206
190	283	1202
191	284	1197
192	285	1192
193	286	1189
194	287	1186
195	288	1184
196	289	1181
197	290	1178
198	292	1175
199	293	1173
200	294	1170
201	295	1166
202	296	1162
203	297	1159
204	298	1156
205	299	1153
206	300	1150
207	301	1147
208	302	1144
209	303	1140
210	304	1137
211	305	1134
212	306	1131
213	307	1128
214	308	1125
215	309	1122
216	311	1122
217	312	1120
218	313	1118
219	314	1116
220	315	1113
221	316	1110
222	318	1108
223	319	1105
224	320	1103
225	321	1100
226	322	1097
227	323	1094
228	324	1091
229	325	1089
230	326	1085
231	327	1083
232	328	1080
233	329	1077
234	330	1074
235	331	1071
236	332	1069
237	333	1066
238	334	1064
239	335	1061
240	336	1059
241	337	1057
242	338	1055
243	339	1052
244	340	1050
245	341	1048
246	342	1045
247	343	1042
248	344	1040
249	345	1037
250	346	1034
251	347	1032
252	348	1029
253	349	1027
254	350	1024
255	351	1022
256	352	1020
257	353	1017
258	354	1015
259	355	1012
260	356	1009
261	357	1007
262	358	1005
263	359	1002
264	360	1000
265	361	997
266	362	995
267	363	992
268	364	991
269	365	988
270	366	986
271	367	983
272	368	981
273	369	978
274	370	976
275	371	973
276	372	971
277	372	968
278	373	966
279	374	963
280	375	960
281	376	958
282	377	955
283	378	953
284	379	951
285	380	949
286	381	947
287	382	944
288	383	943
289	384	941
290	385	939
291	386	937
292	387	935
293	388	933
294	389	930
295	390	928
296	391	926
297	392	923
298	393	921
299	393	919
300	394	916
301	395	914
302	396	912
303	397	909
304	398	907
305	399	905
306	400	903
307	401	901
308	401	898
309	402	896
310	403	894
311	405	893
312	405	890
313	406	889
314	407	887
315	409	885
316	410	883
317	411	881
318	411	879
319	412	877
320	413	875
321	414	872
322	415	871
323	416	869
324	417	867
325	418	865
326	419	863
327	420	861
328	421	859
329	422	858
330	423	856
331	424	854
332	425	852
333	426	850
334	427	848
335	428	846
336	429	844
337	430	842
338	431	840
339	432	838
340	433	836
341	434	835
342	435	833
343	436	831
344	436	829
345	437	827
346	438	825
347	439	823
348	440	821
349	441	819
350	441	817
351	443	815
352	444	814
353	445	812
354	446	810
355	446	808
356	447	806
357	448	804
358	449	802
359	450	800
360	451	798
361	452	797
362	453	795
363	454	793
364	455	792
365	456	790
366	457	789
367	458	787
368	459	785
369	460	783
370	460	781
371	461	779
372	463	778
373	464	776
374	465	775
375	466	773
376	466	771
377	467	770
378	469	768
379	470	766
380	470	765
381	471	763
382	472	761
383	473	759
384	474	757
385	475	756
386	476	754
387	477	753
388	478	751
389	479	749
390	480	748
391	481	746
392	481	744
393	482	742
394	483	740
395	484	739
396	485	737
397	486	735
398	487	733
399	488	732
400	489	730
401	490	728
402	490	727
403	492	725
404	492	724
405	493	722
406	494	720
407	495	719
408	496	717
409	497	716
410	499	715
411	500	714
412	501	712
413	502	711
414	503	709
415	504	708
416	505	706
417	506	704
418	506	702
419	507	700
420	508	699
421	509	697
422	510	695
423	510	694
424	511	692
425	512	691
426	513	689
427	514	687
428	515	686
429	516	684
430	517	682
431	518	681
432	519	680
433	521	679
434	522	678
435	524	678
436	525	677
437	527	676
438	529	676
439	530	675
440	532	675
441	534	674
442	535	673
443	537	672
444	538	671
445	540	671
446	541	670
447	543	669
448	545	668
449	546	668
450	548	667
451	549	666
452	551	665
453	552	664
454	554	663
455	555	663
456	557	662
457	559	661
458	560	660
459	562	660
460	563	659
461	565	658
462	566	657
463	568	656
464	569	655
465	571	654
466	572	653
467	574	652
468	575	651
469	577	651
470	578	650
471	580	648
472	581	647
473	582	646
474	584	646
